journal_full,issn,journal_short
American Journal of Agricultural Economics,0002-9092,AJAE
American Journal of Agricultural Economics,1467-8276,AJAE
Journal of the Association of Environmental and Resource Economists ,2333-5955,JAERE
Journal of the Association of Environmental and Resource Economists ,2333-5963,JAERE
Journal of Environmental Economics and Management,0095-0696,JEEM
Journal of Environmental Economics and Management,1096-0449,JEEM
Journal of Development Economics,0304-3878,JDE
China Agricultural Economic Review,1756-137X,CAER
Journal of Agricultural Economics,0021-857X,JAE
Journal of Agricultural Economics,1477-9552,JAE
Food Policy,0306-9192,FP
Energy Economics,0140-9883,EnergyE
Ecological Economics,0921-8009,EcoE
Ecological Economics,1873-6106,EcoE
Land Economics,0023-7639​,LE
Land Economics,1543-8325​,LE
