journal_full,issn,journal_short
Journal of Labor Economics,0734-306X,JLE
Journal of Labor Economics,1537-5307,JLE
Journal of Finance,0022-1082,JF
Journal of Finance,1540-6261,JF
Journal of Financial Economics,0304-405X,JFE
Journal of Health Economics,0167-6296,JHE
Journal of International Economics,0022-1996,JIE
International Economic Review,0020-6598,IER
International Economic Review,1468-2354,IER
Review of International Economics,0965-7576,RIE
Review of International Economics,1467-9396,RIE
